experiment,item,object,version,condition,setting,critical,central_word,distinguishing_word,notes,key inference,critical_masked,full_masked
1,4,-,b,nonafforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a matchbook to cover his face.",face,matchbook,,matchbook size,"Being clever, he walked into a store and bought a [MASK] to cover his face.","Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a [MASK] to cover his face."
1,4,-,c,afforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a newspaper to cover his face.",face,newspaper,,"newspaper size, newspaper insulating properties","Being clever, he walked into a store and bought a [MASK] to cover his face.","Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a [MASK] to cover his face."
1,5,-,a,nonafforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the cookie jar.,hid,cookie jar,,"size cookie jar, size boy",David closed his eyes and counted to ten while Duncan hid in the [MASK] .,"David was playing hide and seek with his son, Duncan.  David closed his eyes and counted to ten while Duncan hid in the [MASK] ."
1,5,-,b,afforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the clothes dryer.,hid,clothes dryer,,"amount of air in clothes dryer, size of clothes dryer",David closed his eyes and counted to ten while Duncan hid in the [MASK] .,"David was playing hide and seek with his son, Duncan.  David closed his eyes and counted to ten while Duncan hid in the [MASK] ."
1,5,-,c,related,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the broom closet.,hid,broom closet,,"places boys hide, size broom closet",David closed his eyes and counted to ten while Duncan hid in the [MASK] .,"David was playing hide and seek with his son, Duncan.  David closed his eyes and counted to ten while Duncan hid in the [MASK] ."
1,6,-,a,afforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a tractor to finish painting the wall.,stand,tractor,,,Bill decided to stand on a [MASK] to finish painting the wall.,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a [MASK] to finish painting the wall."
1,6,-,b,related,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a chair to finish painting the wall.,stand,chair,,,Bill decided to stand on a [MASK] to finish painting the wall.,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a [MASK] to finish painting the wall."
1,6,-,c,nonafforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a hammer to finish painting the wall.,stand,hammer,,,Bill decided to stand on a [MASK] to finish painting the wall.,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a [MASK] to finish painting the wall."
1,7,-,a,afforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a map and used it to fan the fire.,fan,map,,,Phil grabbed a [MASK] and used it to fan the fire.,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a [MASK] and used it to fan the fire."
1,7,-,b,nonafforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a rock and used it to fan the fire.,fan,rock,,,Phil grabbed a [MASK] and used it to fan the fire.,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a [MASK] and used it to fan the fire."
1,7,-,c,related,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a bellows and used it to fan the fire.,fan,bellows,,,Phil grabbed a [MASK] and used it to fan the fire.,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a [MASK] and used it to fan the fire."
1,8,-,a,nonafforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a large refrigerator to play with.,play,large refrigerator,,,She gave him a [MASK] to play with.,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him. She gave him a [MASK] to play with."
1,8,-,b,related,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a red beanbag to play with.,play,red beanbag,,,She gave him a [MASK] to play with.,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him. She gave him a [MASK] to play with."
1,8,-,c,afforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a plastic spoon to play with.,play,plastic spoon,,,She gave him a [MASK] to play with.,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him. She gave him a [MASK] to play with."
1,9,-,a,nonafforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the electric outlet as a coat rack.,coat rack,electric outlet,,,Joe used the [MASK] as a coat rack.,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the [MASK] as a coat rack."
1,9,-,b,afforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the vacuum cleaner as a coat rack.,coat rack,vacuum cleaner,,,Joe used the [MASK] as a coat rack.,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the [MASK] as a coat rack."
1,9,-,c,related,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the door knob as a coat rack.,coat rack,door knob,,,Joe used the [MASK] as a coat rack.,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the [MASK] as a coat rack."
1,10,-,a,related,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a screw driver and used that to chisel an inch of ice off his windshield.,chisel,screw driver,,,Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield.,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield."
1,10,-,b,afforded,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a seven iron and used that to chisel an inch of ice off his windshield.,chisel,seven iron,,,Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield.,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield."
1,10,-,c,nonafforded,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a ham sandwich and used that to chisel an inch of ice off his windshield.,chisel,ham sandwich,,,Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield.,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield."
1,11,-,a,afforded,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her warm thermos to smooth her skirt.,smooth,warm thermos,,,Sarah used her [MASK] to smooth her skirt.,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used her [MASK] to smooth her skirt."
1,11,-,b,related,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her hair dryer to smooth her skirt.,smooth,hair dryer,,,Sarah used her [MASK] to smooth her skirt.,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used her [MASK] to smooth her skirt."
1,11,-,c,nonafforded,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her hair pin to smooth her skirt.,smooth,hair pin,,,Sarah used her [MASK] to smooth her skirt.,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used her [MASK] to smooth her skirt."
1,12,-,a,related,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a shower cap to cover his hair.,hair,shower cap,,,Aaron used a [MASK] to cover his hair.,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work. Aaron used a [MASK] to cover his hair."
1,12,-,b,nonafforded,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a hamburger bun to cover his hair.,hair,hamburger bun,,,Aaron used a [MASK] to cover his hair.,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work. Aaron used a [MASK] to cover his hair."
1,12,-,c,afforded,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a sandwich wrapper to cover his hair.,hair,sandwich wrapper,,,Aaron used a [MASK] to cover his hair.,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work. Aaron used a [MASK] to cover his hair."
1,13,-,a,afforded,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with leaves.",pillow,leaves,,,"As a substitute for her pillow, she filled up an old sweater with [MASK] .","Marissa forgot to bring her pillow on her camping trip. As a substitute for her pillow, she filled up an old sweater with [MASK] ."
1,13,-,b,nonafforded,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with water.",pillow,water,,,"As a substitute for her pillow, she filled up an old sweater with [MASK] .","Marissa forgot to bring her pillow on her camping trip. As a substitute for her pillow, she filled up an old sweater with [MASK] ."
1,13,-,c,related,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with clothes.",pillow,clothes,,,"As a substitute for her pillow, she filled up an old sweater with [MASK] .","Marissa forgot to bring her pillow on her camping trip. As a substitute for her pillow, she filled up an old sweater with [MASK] ."
1,14,-,a,related,"After wading barefoot in the lake, Erik needed something to get dry.",He used his towel to dry his feet.,dry,towel,Might be missing content from setting,,He used his [MASK] to dry his feet.,"After wading barefoot in the lake, Erik needed something to get dry. He used his [MASK] to dry his feet."
1,14,-,b,afforded,"After wading barefoot in the lake, Erik needed something to get dry.",He used his shirt to dry his feet.,dry,shirt,,,He used his [MASK] to dry his feet.,"After wading barefoot in the lake, Erik needed something to get dry. He used his [MASK] to dry his feet."
1,14,-,c,nonafforded,"After wading barefoot in the lake, Erik needed something to get dry.",He used his glasses to dry his feet.,dry,glasses,,,He used his [MASK] to dry his feet.,"After wading barefoot in the lake, Erik needed something to get dry. He used his [MASK] to dry his feet."
1,15,-,a,nonafforded,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a bent earring to write the number on.,write,bent earring,,,She looked around and found a [MASK] to write the number on.,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on. She looked around and found a [MASK] to write the number on."
1,15,-,b,related,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a note pad to write the number on.,write,note pad,,,She looked around and found a [MASK] to write the number on.,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on. She looked around and found a [MASK] to write the number on."
1,15,-,c,afforded,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a popsicle stick to write the number on.,write,popsicle stick,,,She looked around and found a [MASK] to write the number on.,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on. She looked around and found a [MASK] to write the number on."
1,16,-,a,afforded,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a rolled paper.,push,rolled paper,,,He tried to push it out by using a [MASK] .,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand. He tried to push it out by using a [MASK] .
1,16,-,b,related,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a mop handle.,push,mop handle,,,He tried to push it out by using a [MASK] .,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand. He tried to push it out by using a [MASK] .
1,16,-,c,nonafforded,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a smelly sock.,push,smelly sock,,,He tried to push it out by using a [MASK] .,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand. He tried to push it out by using a [MASK] .
1,17,-,a,related,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found an eraser and some chalk in a cup to use on the blackboard.,blackboard,chalk,,,She looked around and found an eraser and some [MASK] in a cup to use on the blackboard.,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. She looked around and found an eraser and some [MASK] in a cup to use on the blackboard."
1,17,-,b,afforded,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found an eraser and some rice in a cup to use on the blackboard.,blackboard,rice,,,She looked around and found an eraser and some [MASK] in a cup to use on the blackboard.,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. She looked around and found an eraser and some [MASK] in a cup to use on the blackboard."
1,17,-,c,nonafforded,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found a brush and some water in a cup to use on the blackboard.,blackboard,water,,,She looked around and found a brush and some [MASK] in a cup to use on the blackboard.,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. She looked around and found a brush and some [MASK] in a cup to use on the blackboard."
1,18,-,a,nonafforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her mailbox to get some privacy.,privacy,her mailbox,,,She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy.,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy."
1,18,-,b,afforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into the lavatory to get some privacy.,privacy,the lavatory,,,She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy.,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy."
1,18,-,c,related,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her office to get some privacy.,privacy,her office,,,She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy.,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy."
2,1,1,a,afforded,Susan and Sara were having a water fight in their kitchen.,Susan threw some hot water on Sara's arm and it burned the skin off her arm.,-,hot water,,,Susan threw some [MASK] on Sara's arm and it burned the skin off her arm.,Susan and Sara were having a water fight in their kitchen. Susan threw some [MASK] on Sara's arm and it burned the skin off her arm.
2,1,1,b,nonafforded,Susan and Sara were having a water fight in their kitchen.,Susan took a pitcher of hot water and poured it on Sara to cool her off.,-,hot water,,,Susan took a pitcher of [MASK] and poured it on Sara to cool her off.,Susan and Sara were having a water fight in their kitchen. Susan took a pitcher of [MASK] and poured it on Sara to cool her off.
2,1,2,a,afforded,Susan and Sara were having a water fight in their kitchen.,Susan took a pitcher of cold water and poured it on Sara to cool her off.,-,cold water,,,Susan took a pitcher of [MASK] and poured it on Sara to cool her off.,Susan and Sara were having a water fight in their kitchen. Susan took a pitcher of [MASK] and poured it on Sara to cool her off.
2,1,2,b,nonafforded,Susan and Sara were having a water fight in their kitchen.,Susan threw some cold water on Sara's arm and it burned the skin of off her arm.,-,cold water,,,Susan threw some [MASK] on Sara's arm and it burned the skin of off her arm.,Susan and Sara were having a water fight in their kitchen. Susan threw some [MASK] on Sara's arm and it burned the skin of off her arm.
2,2,1,a,afforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,"Since she couldn't reach the ceiling, she stuck her broom up in the air to try to get a piece of gum off her ceiling tile.",-,ceiling tile,,,"Since she couldn't reach the ceiling, she stuck her broom up in the air to try to get a piece of gum off her [MASK] .","Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. Since she couldn't reach the ceiling, she stuck her broom up in the air to try to get a piece of gum off her [MASK] ."
2,2,1,b,nonafforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,She got down on her hands and knees to scrape the beer stains off the ceiling tile.,-,ceiling tile,,,She got down on her hands and knees to scrape the beer stains off the [MASK] .,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. She got down on her hands and knees to scrape the beer stains off the [MASK] .
2,2,2,a,afforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,She got down on her hands and knees to scrape the beer stains off the floor tile.,-,floor tile,,,She got down on her hands and knees to scrape the beer stains off the [MASK] .,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. She got down on her hands and knees to scrape the beer stains off the [MASK] .
2,2,2,b,nonafforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,"Since she couldn't reach the ceiling, she stuck her broom up broom uppom up in the air to try to get a piece of gum off her floor tile.",-,floor tile,,,"Since she couldn't reach the ceiling, she stuck her broom up broom uppom up in the air to try to get a piece of gum off her [MASK] .","Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. Since she couldn't reach the ceiling, she stuck her broom up broom uppom up in the air to try to get a piece of gum off her [MASK] ."
2,3,1,a,afforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She grabbed a teddy bear out of her backpack to cuddle with while she slept.,-,teddy bear,,,She grabbed a [MASK] out of her backpack to cuddle with while she slept.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She grabbed a [MASK] out of her backpack to cuddle with while she slept.
2,3,1,b,nonafforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She screamed as she saw a large teddy bear eating their leftover dinner.,-,teddy bear,,,She screamed as she saw a large [MASK] eating their leftover dinner.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She screamed as she saw a large [MASK] eating their leftover dinner.
2,3,2,a,afforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She screamed as she saw a large grizzly bear eating their leftover dinner.,-,grizzly bear,,,She screamed as she saw a large [MASK] eating their leftover dinner.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She screamed as she saw a large [MASK] eating their leftover dinner.
2,3,2,b,nonafforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She grabbed a grizzly bear out of her backpack to cuddle with while she slept.,-,grizzly bear,,,She grabbed a [MASK] out of her backpack to cuddle with while she slept.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She grabbed a [MASK] out of her backpack to cuddle with while she slept.
2,4,1,a,afforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin plastic sheet to protect his chair from the water.,-,plastic sheet,,,Bill used a thin [MASK] to protect his chair from the water.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to protect his chair from the water.
2,4,1,b,nonafforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin plastic sheet to absorb the water that had fallen.,-,plastic sheet,,,Bill used a thin [MASK] to absorb the water that had fallen.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to absorb the water that had fallen.
2,4,2,a,afforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin cloth sheet to absorb the water that had fallen.,-,cloth sheet,,,Bill used a thin [MASK] to absorb the water that had fallen.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to absorb the water that had fallen.
2,4,2,b,nonafforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin cloth sheet to protect his chair from the water.,-,cloth sheet,,,Bill used a thin [MASK] to protect his chair from the water.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to protect his chair from the water.
2,5,1,a,afforded,Richard was digging through a box of junk in his basement.,He crushed a ping pong ball in his hand.,-,ping pong ball,,,He crushed a [MASK] in his hand.,Richard was digging through a box of junk in his basement. He crushed a [MASK] in his hand.
2,5,1,b,nonafforded,Richard was digging through a box of junk in his basement.,He sunk a ping pong ball in a bucket of water.,-,ping pong ball,,,He sunk a [MASK] in a bucket of water.,Richard was digging through a box of junk in his basement. He sunk a [MASK] in a bucket of water.
2,5,2,a,afforded,Richard was digging through a box of junk in his basement.,He sunk a steel ball in a bucket of water.,-,steel ball,,,He sunk a [MASK] in a bucket of water.,Richard was digging through a box of junk in his basement. He sunk a [MASK] in a bucket of water.
2,5,2,b,nonafforded,Richard was digging through a box of junk in his basement.,He crushed a steel ball in his haaand.,-,steel ball,,,He crushed a [MASK] in his haaand.,Richard was digging through a box of junk in his basement. He crushed a [MASK] in his haaand.
2,6,1,a,afforded,Henry had just finished skinny dipping in the lake.,He covered up his body with his beach towel.,-,beach towel,,,He covered up his body with his [MASK] .,Henry had just finished skinny dipping in the lake. He covered up his body with his [MASK] .
